so_hieu,title,clause_type,content,parent_content,grandparent_content,keyword,reason_not_relation,suggested_label,audit_status
105/2006/NĐ-CP,Nghị định bảo vệ quyền sở hữu trí tuệ quản lý nhà nước hướng dẫn Luật Sở hữu trí tuệ,dieu,"Điều 62. Hiệu lực của Nghị định
Nghị định này có hiệu lực thi hành sau 15 ngày, kể từ ngày đăng Công báo.
Các quy định khác trong các văn bản ban hành trước ngày Nghị định này có hiệu lực thi hành trái với Nghị định này đều bãi bỏ.",,,bãi bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
28/2013/NQ-HĐND,"Nghị quyết về Quy hoạch bảo vệ, khai thác và sử dụng tài nguyên nước tỉnh Yên Bái đến năm 2020 và định hướng đến năm 2030",diem,"b) Giải pháp về công nghệ:
- Đầu tư phát triển công nghệ khoa học kỹ thuật, đưa công nghệ thông tin vào công tác quản lý.
- Khuyến khích ứng dụng những thành tựu về công nghệ, kỹ thuật mới trong công nghiệp chế biến, khai khoáng…, cải tiến đầu tư thay thế công nghệ lạc hậu, áp dụng các quy trình cấp nước tiên tiến để tiết kiệm nguồn nước và sử dụng có hiệu quả tài nguyên nước.",4. Giải pháp thực hiện quy hoạch,"Điều 1. Nhất trí thông qua Quy hoạch bảo vệ, khai thác và sử dụng tài nguyên nước tỉnh Yên Bái đến năm 2020 và định hướng đến năm 2030 như sau:",thay thế,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
35-L/CTN,Bộ luật lao động 1994 35-L/CTN,dieu,"Điều 51. Trước khi thoả ước tập thể hết hạn, hai bên có thể thương lượng để kéo dài thời hạn thoả ước tập thể hoặc ký kết thoả ước tập thể mới. Khi thoả ước tập thể hết hạn mà hai bên vẫn tiếp tục thương lượng, thì thoả ước tập thể vẫn có hiệu lực. Nếu quá ba tháng, kể từ ngày thoả ước tập thể hết hạn mà thương lượng không đi đến kết quả, thì thoả ước tập thể đương nhiên hết hiệu lực.",,,hết hiệu lực,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
102/2007/NQ-HĐND.K7,"Nghị quyết về phương hướng, nhiệm vụ năm 2008 do tỉnh Đồng Tháp ban hành",dieu,"Điều 2. Giao Uỷ ban nhân dân Tỉnh nghiên cứu tiếp thu những kiến nghị của các Ban Hội đồng nhân dân Tỉnh và ý kiến đóng góp của các Đại biểu Hội đồng nhân dân Tỉnh, bổ sung, hoàn chỉnh Báo cáo; chỉ đạo triển khai thực hiện với tinh thần khẩn trương, quyết tâm cao, nhằm đảm bảo hoàn thành thắng lợi nhiệm vụ phát triển kinh tế - xã hội, quốc phòng - an ninh năm 2008 đã được Hội đồng nhân dân Tỉnh thông qua.",,,bổ sung,"Keyword bổ sung dùng cho hồ sơ/thông tin/nguồn lực/nhiệm vụ, không phải bổ sung điều khoản hoặc văn bản pháp luật.",none,pending
104/2016/QH13,Luật tiếp cận thông tin 2016,khoan,5. Thông tin công khai không chính xác bằng hình thức nào thì phải được đính chính bằng hình thức đó.,Điều 22. Xử lý thông tin công khai không chính xác,,đính chính,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
35/2015/QĐ-UBND,Quyết định quy định phân cấp quản lý sử dụng tài sản nhà nước Cao Bằng,diem,"a) Tài sản nhà nước được thanh lý theo các phương thức sau:
- Bán tài sản nhà nước;
- Phá dỡ, hủy bỏ tài sản nhà nước.",3. Phương thức thanh lý tài sản nhà nước,Điều 9. Thẩm quyền quyết định thanh lý tài sản nhà nước,hủy bỏ,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
34/2021/TT-BGDĐT,Thông tư tiêu chuẩn xét thăng hạng chức danh giáo viên mầm non,khoan,2. Hướng dẫn minh chứng và chấm điểm các nhóm tiêu chí được quy định tại phụ lục kèm theo Thông tư này.,Điều 6. Cách tính điểm hồ sơ xét thăng hạng chức danh nghề nghiệp,,hướng dẫn,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
05/2003/QH11,Luật hoạt động giám sát của Quốc hội 2003,vanban,"LUẬT
CỦA QUỐC HỘI NƯỚC CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM SỐ 05/2003/QH11 NGÀY 17 THÁNG 6 NĂM 2003 VỀ HOẠT ĐỘNG GIÁM SÁT CỦA QUỐC HỘI
Để nâng cao hiệu lực, hiệu quả hoạt động giám sát của Quốc hội, góp phần bảo đảm cho Hiến pháp, luật, nghị quyết của Quốc hội, pháp lệnh, nghị quyết của Uỷ ban thường vụ Quốc hội được thi hành nghiêm chỉnh và thống nhất; Căn cứ vào Hiến pháp nước Cộng hoà xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung theo Nghị quyết số 51/2001/QH10 ngày 25 tháng 12 năm 2001 của Quốc hội khoá X, kỳ họp thứ 10; Luật này quy định về hoạt động giám sát của Quốc hội, Uỷ ban thường vụ Quốc hội, Hội đồng dân tộc, Uỷ ban của Quốc hội, Đoàn đại biểu Quốc hội và đại biểu Quốc hội.",,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
23/2026/QĐ-UBND,Quyết định về Quy định quản lý trật tự xây dựng và phân cấp quản lý trật tự xây dựng trên địa bàn thành phố Huế,diem,"c) Đình chỉ xây dựng, thu hồi giấy phép xây dựng theo thẩm quyền khi chủ đầu tư xây dựng công trình vi phạm nghiêm trọng đối với các dự án trên địa bàn quản lý;","3. Ban Quản lý Khu kinh tế, công nghiệp thành phố",Điều 14. Trách nhiệm quản lý trật tự xây dựng,đình chỉ,"Keyword đình chỉ/ngưng hiệu lực áp vào hoạt động, giấy phép hoặc dự án, không phải hiệu lực văn bản/điều khoản.",none,pending
07/2000/NQ-HĐ,"Nghị quyết số 07/2000/NQ-HĐ về việc đặt tên và điều chỉnh tên một số đường, phố ở Hà nội (Hội đồng nhân dân thành phố Hà Nội Khóa XII, Kỳ họp thứ 3, từ ngày 18 đến ngày 21/7/2000) do Ủy ban Nhân dân Thành phố Hà Nội ban hành",dieu,"Điều 4: Giao UBND Thành phố bổ sung, hoàn chỉnh quy chế, quy trình đặt tên đường, phố và kiện toàn Hội đồng tư vấn lịch sử thành phố trong quý IV năm 2000, để phục vụ cho việc đặt tên đường, tên phố, tên ngõ, công viên, quảng trường, công trình văn hóa trên địa bàn thành phố Hà Nội.
[TABLE] <table border=""0"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td style=""PADDING-RIGHT: 5.4pt; PADDING-LEFT: 5.4pt; PADDING-BOTTOM: 0in; PADDING-TOP: 0in"" valign=""top"">
<p style=""MARGIN-BOTTOM: 6pt""> </p></td>
<td style=""PADDING-RIGHT: 5.4pt; PADDING-LEFT: 5.4pt; PADDING-BOTTOM: 0in; PADDING-TOP: 0in"" valign=""top"">
<p align=""center"" style=""MARGIN-BOTTOM: 6pt; TEXT-ALIGN: center""><b>T/M HỘI ĐỒNG NHÂN DÂN THÀNH PHỐ HÀ NỘI</b><br/><b>CHỦ TỊCH</b> <br/> <br/> <br/> <br/><b>Trần Văn Tuấn</b></p></td></tr></tbody></table> [#TABLE]",,,bổ sung,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
03/VBHN-BXD,Văn bản hợp nhất năm 2023 hợp nhất Nghị định về quản lý đầu tư phát triển đô thị do Bộ Xây dựng ban hành,khoan,2. Nghị định này thay thế Nghị định số 02/2006/NĐ-CP ngày 05 tháng 01 năm 2006 của Chính phủ.,Điều 53. Hiệu lực thi hành18,,thay thế,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
27/2026/TT-BGDĐT,Thông tư quy định chuẩn nghề nghiệp giáo viên trường dự bị đại học do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành,diem,"đ) Hướng dẫn đồng nghiệp triển khai thực hiện đề tài hoặc sáng kiến cấp cơ sở trở lên trong hoạt động quản lý giáo dục, giảng dạy;",3. Đối với hạng I,"Điều 6. Tiêu chuẩn về năng lực chuyên môn, nghiệp vụ",hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
23/2026/QĐ-UBND,Quyết định về Quy định quản lý trật tự xây dựng và phân cấp quản lý trật tự xây dựng trên địa bàn thành phố Huế,dieu,"Điều 9. Số lần kiểm tra
Sau khi nhận được thông báo khởi công xây dựng công trình của chủ đầu tư (theo quy định tại Phụ lục V Nghị định số 06/2021/NĐ-CP quy định chi tiết một số nội dung về quản lý chất lượng, thi công xây dựng và bảo trì công trình xây dựng), cơ quan chuyên môn về xây dựng sẽ thực hiện kiểm tra trong quá trình thi công, với số lần kiểm tra gồm:",,,quy định chi tiết,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
02/2011/NQ-HĐND,"Nghị quyết quy định phí, lệ phí áp dụng trên địa bàn tỉnh Bến Tre do Hội đồng nhân dân tỉnh Bến Tre khóa VIII, kỳ họp thứ 2 ban hành",khoan,"1. Bãi bỏ việc thu phí qua cầu An Hoá trên đường tỉnh 883 được quy định tại Khoản 3, Mục I về Tờ trình thu phí qua cầu An Hoá quy định tại Nghị quyết số 35/NQ-HĐND ngày 11 tháng 02 năm 1999 của Hội đồng nhân dân tỉnh Bến Tre khoá V.","Điều 3. Bãi bỏ và thay thế các văn bản quy định phí, lệ phí",,bãi bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
70/2006/QH11,Luật chứng khoán 2006,dieu,"Điều 69. Chia, tách, sáp nhập, hợp nhất, chuyển đổi công ty chứng khoán, công ty quản lý quỹ",,,hợp nhất,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
46/2016/QĐ-TTg,Quyết định về định mức phân bổ dự toán chi thường xuyên ngân sách nhà nước năm 2017 do Thủ tướng Chính phủ ban hành,vanban,"2. Định mức phân bổ theo tiêu chí bổ sung, gồm:
a) Các tỉnh, thành phố trực thuộc Trung ương có đoàn nghệ thuật chuyên nghiệp (là đơn vị sự nghiệp công lập), đội thông tin lưu động được phân bổ thêm kinh phí: 510 triệu đồng/đoàn nghệ thuật chuyên nghiệp và 250 triệu đồng/đội thông tin lưu động;
b) Các tỉnh, thành phố trực thuộc Trung ương có khu, điểm du lịch quốc gia được hỗ trợ 3.000 triệu đồng/khu, điểm du lịch quốc gia.",,,bổ sung,"Keyword bổ sung dùng cho hồ sơ/thông tin/nguồn lực/nhiệm vụ, không phải bổ sung điều khoản hoặc văn bản pháp luật.",none,pending
34/2021/TT-BGDĐT,Thông tư tiêu chuẩn xét thăng hạng chức danh giáo viên mầm non,khoan,"3. Trường hợp các văn bản dẫn chiếu tại Thông tư này được sửa đổi, bổ sung hoặc thay thế thì thực hiện theo các văn bản mới.",Điều 8. Điều khoản thi hành,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
35/2015/QĐ-UBND,Quyết định quy định phân cấp quản lý sử dụng tài sản nhà nước Cao Bằng,diem,"a) Cơ quan có tài sản thanh lý tự thực hiện hoặc thuê tổ chức, cá nhân khác thực hiện việc phá dỡ, hủy bỏ tài sản theo quy định của pháp luật.","6. Tổ chức thanh lý tài sản nhà nước theo phương thức phá dỡ, hủy bỏ",Điều 9. Thẩm quyền quyết định thanh lý tài sản nhà nước,hủy bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
02/2011/NQ-HĐND,"Nghị quyết quy định phí, lệ phí áp dụng trên địa bàn tỉnh Bến Tre do Hội đồng nhân dân tỉnh Bến Tre khóa VIII, kỳ họp thứ 2 ban hành",khoan,"4. Quy định mức thu phí qua các phà trực thuộc Trung tâm Quản lý phà và bến xe Bến Tre quy định tại Khoản 2, Điều 1 Nghị quyết này thay thế:","Điều 3. Bãi bỏ và thay thế các văn bản quy định phí, lệ phí",,thay thế,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
03/VBHN-BXD,Văn bản hợp nhất năm 2023 hợp nhất Nghị định về quản lý đầu tư phát triển đô thị do Bộ Xây dựng ban hành,dieu,"Điều 43. Bộ Tài chính
Chủ trì, phối hợp với các Bộ ngành liên quan xây dựng và hướng dẫn thực hiện các ưu đãi có liên quan đến chính sách tài chính, thuế cho các dự án đầu tư phát triển đô thị.",,,hướng dẫn,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
104/2016/QH13,Luật tiếp cận thông tin 2016,diem,"a) Công khai, cung cấp thông tin một cách kịp thời, chính xác, đầy đủ; trong trường hợp phát hiện thông tin đã cung cấp không chính xác hoặc không đầy đủ thì phải đính chính hoặc cung cấp bổ sung thông tin;",1. Cơ quan nhà nước có trách nhiệm cung cấp thông tin quy định tại Điều 9 của Luật này có trách nhiệm:,Điều 34. Trách nhiệm của cơ quan cung cấp thông tin trong việc bảo đảm thực hiện quyền tiếp cận thông tin,đính chính,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
252/2004/QĐ-UB,Quyết định ban hành Quy chế Báo cáo viên pháp luật cấp thành phố Cần Thơ,dieu,"Điều 14. Kỷ luật.
Báo cáo viên pháp luật vi phạm Quy chế này, không còn đủ tư cách Báo cáo viên thì tùy theo tính chất, mức độ có thể bị tạm đình chỉ hoạt động báo cáo pháp luật, xóa tên trong danh sách Báo cáo viên pháp luật và thu hồi thẻ Báo cáo viên pháp luật hoặc áp dụng các hình thức kỷ luật khác theo quy định của pháp luật./.",,,đình chỉ,"Keyword đình chỉ/ngưng hiệu lực áp vào hoạt động, giấy phép hoặc dự án, không phải hiệu lực văn bản/điều khoản.",none,pending
24/2023/QH15,Luật viễn thông 2023,diem,b) Thuê bao viễn thông vi phạm pháp luật về viễn thông. Chính phủ quy định chi tiết Điểm này;,"2. Doanh nghiệp viễn thông không được đơn phương chấm dứt hợp đồng với người sử dụng dịch vụ viễn thông, trừ các trường hợp sau đây:",Điều 22. Từ chối cung cấp dịch vụ viễn thông,quy định chi tiết,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
02/2011/NQ-HĐND,"Nghị quyết quy định phí, lệ phí áp dụng trên địa bàn tỉnh Bến Tre do Hội đồng nhân dân tỉnh Bến Tre khóa VIII, kỳ họp thứ 2 ban hành",khoan,"2. Quy định về lệ phí đăng ký giao dịch bảo đảm và phí cung cấp thông tin về giao dịch bảo đảm quy định tại Khoản 4, Điều 1 và Điều 2 Nghị quyết này thay thế Khoản 1, Điều 1, Khoản 1 Điều 2 Nghị Quyết số 15/2009/NQ-HĐND ngày 22 tháng 7 năm 2009 của Hội đồng nhân dân tỉnh Bến Tre về phí, lệ phí trình tại kỳ họp thứ 17, Hội đồng nhân dân tỉnh khoá VII.","Điều 3. Bãi bỏ và thay thế các văn bản quy định phí, lệ phí",,thay thế,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
03/VBHN-BXD,Văn bản hợp nhất năm 2023 hợp nhất Nghị định về quản lý đầu tư phát triển đô thị do Bộ Xây dựng ban hành,khoan,"8. Chủ trì, phối hợp với Bộ Tài nguyên và Môi trường, Bộ Xây dựng rà soát, điều chỉnh hoặc bổ sung quy hoạch, kế hoạch sử dụng đất để bố trí quỹ đất phát triển đô thị.",Điều 46. Ủy ban nhân dân cấp tỉnh,,bổ sung,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
27/2026/TT-BGDĐT,Thông tư quy định chuẩn nghề nghiệp giáo viên trường dự bị đại học do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành,diem,d) Chủ trì thực hiện các đề tài nghiên cứu khoa học hoặc sáng kiến cấp cơ sở trở lên; tham gia đánh giá hoặc hướng dẫn đồng nghiệp nghiên cứu khoa học hoặc viết sáng kiến từ cấp cơ sở trở lên;,"2. Đối với hạng II
Giáo viên dự bị đại học hạng II phải thực hiện các nhiệm vụ quy định tại khoản 1 Điều này và các nhiệm vụ sau:",Điều 3. Nhiệm vụ của giáo viên dự bị đại học,hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
297/QĐ-UBND,Quyết định năm 2025 phê duyệt quy trình nội bộ giải quyết thủ tục hành chính trong lĩnh vực Tài nguyên nước thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Môi trường Thành phố Hồ Chí Minh,dieu,"Điều 3. Hiệu lực thi hành
Quyết định này có hiệu lực thi hành kể từ ngày ký.
Bãi bỏ các quy trình nội bộ đã được phê duyệt trước đây đối với thủ tục hành chính nêu tại danh mục kèm theo Quyết định này.",,,bãi bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
1387/QĐ-UBND,"Quyết định năm 2025 công bố Danh mục thủ tục hành chính được sửa đổi, bổ sung, bãi bỏ trong lĩnh vực Đầu tư theo phương thức đối tác công tư; Đấu thầu lựa chọn nhà đầu tư thuộc thẩm quyền giải quyết của cấp tỉnh, do Sở Tài chính tỉnh Phú Thọ thực hiện việc tiếp nhận hồ sơ và trả kết quả",khoan,"2. Sở Tài chính:
- Chủ trì, phối hợp với các cơ quan liên quan rà soát, xây dựng quy trình nội bộ đối với việc giải quyết từng thủ tục hành chính công bố tại Điều 1 Quyết định này; hoàn thiện hồ sơ trình Chủ tịch UBND tỉnh phê duyệt chậm nhất 03 ngày kể từ ngày ban hành Quyết định.
- Phối hợp với Sở Khoa học và Công nghệ rà soát, cập nhật, đăng tải công khai kịp thời, đầy đủ, chính xác Danh mục thủ tục hành chính, bộ phận tạo thành của thủ tục hành chính công bố tại Điều 1 Quyết định này và gỡ bỏ các dữ liệu thủ tục hành chính đã hết hiệu lực thi hành trên Hệ thống thông tin giải quyết thủ tục hành chính của tỉnh.",Điều 2. Tổ chức thực hiện.,,hết hiệu lực,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
67/2025/QH15,Luật thuế thu nhập doanh nghiệp năm 2025,diem,"k) Chênh lệch do đánh giá lại tài sản theo quy định của pháp luật để góp vốn, điều chuyển khi sáp nhập, hợp nhất, chia, tách, chuyển đổi chủ sở hữu, chuyển đổi loại hình doanh nghiệp;",2. Thu nhập khác bao gồm:,Điều 3. Thu nhập chịu thuế,hợp nhất,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
34/2021/TT-BGDĐT,Thông tư tiêu chuẩn xét thăng hạng chức danh giáo viên mầm non,khoan,"2. Được xếp loại chất lượng ở mức hoàn thành tốt nhiệm vụ trở lên trong năm công tác liền kề trước năm dự thi hoặc xét thăng hạng chức danh nghề nghiệp; có phẩm chất chính trị, đạo đức nghề nghiệp tốt; không trong thời hạn xử lý kỷ luật, không trong thời gian thực hiện các quy định liên quan đến kỷ luật viên chức quy định tại Điều 56 Luật Viên chức được sửa đổi, bổ sung tại khoản 8 Điều 2 Luật sửa đổi, bổ sung một số điều của Luật Cán bộ, công chức và Luật Viên chức.","Điều 3. Tiêu chuẩn, điều kiện thi hoặc xét thăng hạng chức danh nghề nghiệp
Giáo viên được đăng ký dự thi hoặc xét thăng hạng lên chức danh nghề nghiệp cao hơn liền kề khi có đủ các tiêu chuẩn, điều kiện sau:",,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
100/2025/QĐ-UBND,"Quyết định bãi bỏ Quyết định 10/2025/QĐ-UBND quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Sở Văn hóa, Thể thao và Du lịch tỉnh Hà Tĩnh",dieu,"Điều 1. Bãi bỏ toàn bộ Quyết định
Bãi bỏ toàn bộ Quyết định số 10/2025/QĐ-UBND ngày 01/3/2025 của Ủy ban nhân dân tỉnh ban hành Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Sở Văn hóa, Thể thao và Du lịch.",,,bãi bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
03/VBHN-BXD,Văn bản hợp nhất năm 2023 hợp nhất Nghị định về quản lý đầu tư phát triển đô thị do Bộ Xây dựng ban hành,diem,"c) Lập kế hoạch lựa chọn chủ đầu tư dự án đầu tư phát triển đô thị, trình Ủy ban nhân dân cấp tỉnh quyết định; hướng dẫn, hỗ trợ các chủ đầu tư trong quá trình chuẩn bị đầu tư và thực hiện dự án đầu tư phát triển đô thị;","3. Nhiệm vụ, quyền hạn của Ban Quản lý khu vực phát triển đô thị:",Điều 13. Ban Quản lý khu vực phát triển đô thị,hướng dẫn,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
70/2006/QH11,Luật chứng khoán 2006,dieu,Điều 22. Đình chỉ chào bán chứng khoán ra công chúng,,,đình chỉ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
35/2015/QĐ-UBND,Quyết định quy định phân cấp quản lý sử dụng tài sản nhà nước Cao Bằng,diem,"b) Chi phí hợp lý liên quan đến việc thanh lý tài sản nhà nước gồm:
- Chi phí kiểm kê tài sản;
- Chi phí phá dỡ, hủy bỏ tài sản;
- Chi phí định giá và thẩm định giá tài sản;
- Chi phí tổ chức bán đấu giá;
- Các chi phí khác có liên quan.","7. Quản lý, sử dụng tiền thu được từ thanh lý tài sản nhà nước",Điều 9. Thẩm quyền quyết định thanh lý tài sản nhà nước,hủy bỏ,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
