so_hieu,clause_type,content,parent_content,grandparent_content,reference,relation,diff_type
309/2025/NĐ-CP,dieu,"Điều 1. Bãi bỏ cụm từ “và quy định khác có liên quan” tại điểm b khoản 5 Điều 36 Nghị định số 26/2019/NĐ-CP đã được sửa đổi, bổ sung tại khoản 14 Điều 1 Nghị định số 37/2024/NĐ-CP.",,,điểm b khoản 5 Điều 36 Nghị định số 26/2019/NĐ-CP,bai_bo,FP_introduced_by_LLM
34/2021/TT-BGDĐT,khoan,"2. Trường hợp đăng ký dự xét thăng hạng chức danh nghề nghiệp, ngoài các hồ sơ quy định tại khoản 1 Điều này thì cần nộp các minh chứng đạt tiêu chuẩn của hạng chức danh nghề nghiệp đăng ký dự xét theo hướng dẫn tại phụ lục kèm theo Thông tư này.",Điều 4. Hồ sơ đăng ký dự thi hoặc xét thăng hạng chức danh nghề nghiệp,,Thông tư này,dan_chieu,FP_introduced_by_LLM
59/2024/QH15,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 2 Điều 95 Luật này,dan_chieu,FP_introduced_by_LLM
29/2025/TT-BYT,khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,khoản 2 Điều 72 Luật Dược,quy_dinh_chi_tiet,FP_introduced_by_LLM
46/2010/NĐ-CP,diem,"b) Nếu không có nguyện vọng kéo dài thời gian công tác khi đủ tuổi nghỉ hưu thì cơ quan, tổ chức, đơn vị quản lý công chức thực hiện thủ tục nghỉ hưu theo quy định tại Điều 9, Điều 10 và các khoản 1, 2, 3 và 4 Điều 11 Nghị định này.","5. Đối với công chức trong đơn vị sự nghiệp công lập có trình độ đào tạo của ngành chuyên môn, đến thời điểm nghỉ hưu theo quy định tại Điều 9 Nghị định này được thực hiện như sau:",Điều 11. Quyết định nghỉ hưu,Điều 9 Nghị định này,dan_chieu,FP_introduced_by_LLM
1739/QĐ-UBND,dieu,"Điều 1. Đình chỉ thi hành Khoản 1 của Điều 8, Quy định kèm theo Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010 của Ủy ban nhân dân tỉnh Cà Mau ban hành Quy định về quản lý và bảo vệ động vật hoang dã trên địa bàn tỉnh Cà Mau; Khoản 2, Khoản 3 của Điều 1 và loài rùa hộp lưng đen (số thứ tự 24) tại Danh mục động vật hoang dã thông thường được quản lý, bảo vệ trên địa bàn tỉnh Cà Mau, thuộc Quyết định số 03/2014/QĐ-UBND ngày 08/02/2014 của Ủy ban nhân dân tỉnh Cà Mau sửa đổi, bổ sung một số điều của Quy định về quản lý và bảo vệ động vật hoang dã trên địa bàn tỉnh Cà Mau ban hành kèm theo Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010 của Ủy ban nhân dân tỉnh Cà Mau. Lý do đình chỉ: Do không phù hợp với quy định của pháp luật hiện hành.",,,Khoản 3 điều 1 Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010,dinh_chi,FP_introduced_by_LLM
70/2006/QH11,diem,"g) Tổ chức, cá nhân trực tiếp hoặc gián tiếp có được thông tin nội bộ từ những đối tượng quy định tại các điểm a, b, c, d, đ và e khoản này.",33. Người biết thông tin nội bộ là:,"Điều 6. Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:",điểm e khoản 33 Điều 6 Luật này,dan_chieu,FP_introduced_by_LLM
29/2025/TT-BYT,khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,"điều của Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024",quy_dinh_chi_tiet,FP_introduced_by_LLM
13/2004/PL-UBTVQH11,khoan,"1. Người phải thi hành án bị Toà án ra quyết định mở thủ tục giải quyết yêu cầu tuyên bố phá sản. Thủ trưởng Cơ quan thi hành án ra quyết định tạm đình chỉ thi hành án khi người phải thi hành án bị Toà án ra quyết định mở thủ tục giải quyết yêu cầu tuyên bố phá sản, trừ việc thi hành các khoản tiền quy định tại các điểm a, b và c khoản 1 Điều 51 của Pháp lệnh này;","Điều 27. Tạm đình chỉ thi hành án
Việc thi hành án bị tạm đình chỉ trong những trường hợp sau đây:",,khoản 1 Điều 51 Pháp lệnh,dan_chieu,FP_introduced_by_LLM
105/2006/NĐ-CP,diem,b) Tiêu huỷ theo quy định tại Điều 31 của Nghị định này;,"1. Đối với hàng hoá giả mạo về sở hữu trí tuệ, nguyên liệu, vật liệu, phương tiện được sử dụng chủ yếu để sản xuất, kinh doanh hàng hoá đó thì cơ quan có thẩm quyền xử lý xâm phạm áp dụng một trong các biện pháp sau đây:",Điều 29. Xử lý hàng hoá xâm phạm,Điều 31 Nghị định này,dan_chieu,FP_introduced_by_LLM
70/2006/QH11,diem,"g) Tổ chức, cá nhân trực tiếp hoặc gián tiếp có được thông tin nội bộ từ những đối tượng quy định tại các điểm a, b, c, d, đ và e khoản này.",33. Người biết thông tin nội bộ là:,"Điều 6. Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:",điểm c khoản 33 Điều 6 Luật này,dan_chieu,FP_introduced_by_LLM
18/2018/QĐ-UBND,khoan,"1. Ngưng hiệu lực thi hành đối với Điều 82, Điều 83, Điều 84, Điều 85, Điều 86 và điểm b khoản 2 Điều 124 Nghị định số 58/2017/NĐ-CP ngày 10 tháng 5 năm 2017 của Chính phủ quy định chi tiết một số điều của Bộ luật Hàng hải Việt Nam về quản lý hoạt động hàng hải đến hết ngày 30 tháng 6 năm 2018.",Điều 1. Ngưng hiệu lực thi hành đối với một số quy định tại Nghị định số 58/2017/NĐ-CP ngày 10 tháng 5 năm 2017 của Chính phủ quy định chi tiết một số điều của Bộ luật Hàng hải Việt Nam về quản lý hoạt động hàng hải,,Điều 84 Nghị định số 58/2017/NĐ-CP ngày 10 tháng 5 năm 2017,ngung_hieu_luc,FP_introduced_by_LLM
105/2006/NĐ-CP,dieu,"Điều 56. Trách nhiệm của Bộ Văn hoá - Thông tin
Bộ Văn hoá - Thông tin có trách nhiệm phối hợp với Bộ Khoa học và Công nghệ thực hiện các nhiệm vụ quy định tại khoản 1 Điều 55 của Nghị định này và thực hiện các nhiệm vụ cụ thể sau đây:",,,khoản 1 Điều 55 Nghị định,dan_chieu,FP_introduced_by_LLM
96/2019/QH14,dieu,"Điều 4. Hiệu lực thi hành
Nghị quyết số 37/2012/QH13 ngày 23 tháng 11 năm 2012 của Quốc hội về công tác phòng, chống vi phạm pháp luật và tội phạm, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án năm 2013, Nghị quyết số 63/2013/QH13 ngày 27 tháng 11 năm 2013 của Quốc hội về tăng cường các biện pháp đấu tranh phòng, chống tội phạm, Nghị quyết số 111/2015/QH13 ngày 27 tháng 11 năm 2015 của Quốc hội về công tác phòng, chống vi phạm pháp luật và tội phạm, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án năm 2016 và các năm tiếp theo hết hiệu lực thi hành kể từ ngày Nghị quyết này có hiệu lực.
Các chỉ tiêu, nhiệm vụ về công tác phòng, chống tội phạm và vi phạm pháp luật, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án quy định tại Nghị quyết số 52/2013/QH13 ngày 21 tháng 6 năm 2013 của Quốc hội về chất vấn và trả lời chất vấn tại Kỳ họp thứ 5, Quốc hội XIII, Nghị quyết số 69/2013/QH13 ngày 29 tháng 11 năm 2013 của Quốc hội về chất vấn và trả lời chất vấn tại Ký họp thứ 6, Quốc hội XIII, Nghị quyết số 75/2014/QH13 ngày 24 tháng 6 năm 2014 của Quốc hội về chất vấn và trả lời chất vấn tại Kỳ họp thứ 7, Quốc hội XIII, Nghị quyết số 77/2014/QH13 ngày 10 tháng 11 năm 2014 của Quốc hội về kế hoạch phát triển kinh tế - xã hội năm 2015, Nghị quyết số 96/2015/QH13 ngày 26 tháng 6 năm 2015 của Quốc hội về tăng cường các biện pháp phòng, chống oan, sai và bảo đảm bồi thường cho người bị thiệt hại trong hoạt động tố tụng hình sự, Nghị quyết số 55/2017/QH14 ngày 24 tháng 11 năm 2017 của Quốc hội về hoạt động chất vấn tại Kỳ họp thứ 4, Quốc hội XIV và Nghị quyết số 69/2018/QH14 ngày 08 tháng 11 năm 2018 của Quốc hội về Kế hoạch phát triển kinh tế - xã hội năm 2019 khác với các chỉ tiêu, nhiệm vụ về công tác phòng, chống tội phạm và vi phạm pháp luật, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án được quy định trong Nghị quyết này thì áp dụng theo Nghị quyết này./.
Nghị quyết này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIV, Kỳ họp thứ 8 thông qua ngày 27 tháng 11 năm 2019.",,,Nghị quyết số 37/2012/QH13 ngày 23 tháng 11 năm 2012,ngung_hieu_luc,FP_introduced_by_LLM
29/2025/TT-BYT,khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,Luật Dược ngày 06 tháng 4 năm 2016,quy_dinh_chi_tiet,FP_introduced_by_LLM
46/2010/NĐ-CP,diem,"b) Nếu không có nguyện vọng kéo dài thời gian công tác khi đủ tuổi nghỉ hưu thì cơ quan, tổ chức, đơn vị quản lý công chức thực hiện thủ tục nghỉ hưu theo quy định tại Điều 9, Điều 10 và các khoản 1, 2, 3 và 4 Điều 11 Nghị định này.","5. Đối với công chức trong đơn vị sự nghiệp công lập có trình độ đào tạo của ngành chuyên môn, đến thời điểm nghỉ hưu theo quy định tại Điều 9 Nghị định này được thực hiện như sau:",Điều 11. Quyết định nghỉ hưu,khoản 1 Điều 11 Nghị định này,dan_chieu,FP_introduced_by_LLM
59/2024/QH15,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 3 Điều 95 Luật này,dan_chieu,FP_introduced_by_LLM
59/2024/QH15,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 1 Điều 96 Luật Thi hành án hình sự,dan_chieu,FP_introduced_by_LLM
01/2025/NQ-HĐTP,dieu,"Điều 5. Phạm vi điều chỉnh
Nghị quyết này hướng dẫn áp dụng một số quy định về tiếp nhận nhiệm vụ, thực hiện thẩm quyền của các Tòa án nhân dân kể từ ngày 01/7/2025 theo quy định của Luật Tổ chức Tòa án nhân dân, Bộ luật Tố tụng hình sự, Bộ luật Tố tụng dân sự, Luật Tố tụng hành chính, Luật Tư pháp người chưa thành niên, Luật Phá sản, Luật Hòa giải, đối thoại tại Tòa án và các luật, nghị quyết của Quốc hội, pháp lệnh, nghị quyết của Ủy ban Thường vụ Quốc hội có liên quan.",,,luật Tố tụng hình sư,dan_chieu,FP_introduced_by_LLM
29/2025/TT-BYT,khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,khoản 4 Điều 89 Luật Dược,quy_dinh_chi_tiet,FP_introduced_by_LLM
269/QĐ-BTC,dieu,"Điều 1. Đính chính Điều 28 Thông tư số 147/2014/TT-BTC ngày 08/10/2014 của Bộ Tài chính hướng dẫn một số điều của Quyết định số 58/2013/QĐ-TTg ngày 15/10/2013 của Thủ tướng Chính phủ về ban hành Quy chế thành lập, tổ chức và hoạt động của Quỹ bảo lãnh tín dụng cho doanh nghiệp nhỏ và vừa (sau đây gọi tắt là Thông tư số 147/2014/TT-BTC) và mục I Phụ lục 1, mục 1 Phụ lục 3 ban hành kèm Thông tư số 147/2014/TT-BTC như sau:",,,Thông tư số 147/2014/TT-BTC ngày 08/10/2014,dinh_chinh,FP_introduced_by_LLM
46/2010/NĐ-CP,diem,"b) Nếu không có nguyện vọng kéo dài thời gian công tác khi đủ tuổi nghỉ hưu thì cơ quan, tổ chức, đơn vị quản lý công chức thực hiện thủ tục nghỉ hưu theo quy định tại Điều 9, Điều 10 và các khoản 1, 2, 3 và 4 Điều 11 Nghị định này.","5. Đối với công chức trong đơn vị sự nghiệp công lập có trình độ đào tạo của ngành chuyên môn, đến thời điểm nghỉ hưu theo quy định tại Điều 9 Nghị định này được thực hiện như sau:",Điều 11. Quyết định nghỉ hưu,Điều 10 Nghị định này,dan_chieu,FP_introduced_by_LLM
70/2006/QH11,diem,"g) Tổ chức, cá nhân trực tiếp hoặc gián tiếp có được thông tin nội bộ từ những đối tượng quy định tại các điểm a, b, c, d, đ và e khoản này.",33. Người biết thông tin nội bộ là:,"Điều 6. Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:",điểm đ khoản 33 Điều 6 Luật này,dan_chieu,FP_introduced_by_LLM
