so_hieu,title,clause_type,content,parent_content,grandparent_content,reference,relation,error_type
133/2025/QH15,Luật công nghệ cao 2025,diem,d) Bổ sung khoản 1a vào sau khoản 1 Điều 13 như sau:“1a. Áp dụng thuế suất 10% trong 25 năm đối với thu nhập của doanh nghiệp quy định tại điểm e1 khoản 2 Điều 12 của Luật này.”;,"7. Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp số 67/2025/QH15 và Luật số 116/2025/QH15 như sau:","Điều 25. Sửa đổi, bổ sung, bãi bỏ một số điều, khoản của các luật có liên quan",Luật Thuế thu nhập doanh nghiệp số 67/2025/QH15,sua_doi_bo_sung,FP
133/2025/QH15,Luật công nghệ cao 2025,diem,d) Bổ sung khoản 1a vào sau khoản 1 Điều 13 như sau:“1a. Áp dụng thuế suất 10% trong 25 năm đối với thu nhập của doanh nghiệp quy định tại điểm e1 khoản 2 Điều 12 của Luật này.”;,"7. Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp số 67/2025/QH15 và Luật số 116/2025/QH15 như sau:","Điều 25. Sửa đổi, bổ sung, bãi bỏ một số điều, khoản của các luật có liên quan",Luật số 116/2025/QH15,sua_doi_bo_sung,FP
133/2025/QH15,Luật công nghệ cao 2025,diem,d) Bổ sung khoản 1a vào sau khoản 1 Điều 13 như sau:“1a. Áp dụng thuế suất 10% trong 25 năm đối với thu nhập của doanh nghiệp quy định tại điểm e1 khoản 2 Điều 12 của Luật này.”;,"7. Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp số 67/2025/QH15 và Luật số 116/2025/QH15 như sau:","Điều 25. Sửa đổi, bổ sung, bãi bỏ một số điều, khoản của các luật có liên quan",khoản 1 Điều 13 Luật Thuế thu nhập doanh nghiệp số 67/2025/QH15,sua_doi_bo_sung,FP
29/2025/TT-BYT,"Thông tư về đăng ký lưu hành thuốc cổ truyền, vị thuốc cổ truyền, dược liệu",khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,Luật Dược ngày 06 tháng 4 năm 2016,quy_dinh_chi_tiet,FP
29/2025/TT-BYT,"Thông tư về đăng ký lưu hành thuốc cổ truyền, vị thuốc cổ truyền, dược liệu",khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,"điều của Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024",quy_dinh_chi_tiet,FP
29/2025/TT-BYT,"Thông tư về đăng ký lưu hành thuốc cổ truyền, vị thuốc cổ truyền, dược liệu",khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,khoản 2 Điều 72 Luật Dược,quy_dinh_chi_tiet,FP
29/2025/TT-BYT,"Thông tư về đăng ký lưu hành thuốc cổ truyền, vị thuốc cổ truyền, dược liệu",khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,khoản 3 Điều 72 Luật Dược,quy_dinh_chi_tiet,FP
29/2025/TT-BYT,"Thông tư về đăng ký lưu hành thuốc cổ truyền, vị thuốc cổ truyền, dược liệu",khoan,"1. Quy định về dữ liệu lâm sàng để bảo đảm an toàn, hiệu quả trong hồ sơ đăng ký thuốc cổ truyền và tiêu chí để xác định trường hợp miễn thử, miễn một số giai đoạn thử thuốc cổ truyền trên lâm sàng tại Việt Nam và thuốc cổ truyền phải yêu cầu thử lâm sàng giai đoạn 4 tại khoản 2, khoản 3 Điều 72 và khoản 4 Điều 89 Luật Dược.","Điều 1. Phạm vi điều chỉnh
Thông tư này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Dược ngày 06 tháng 4 năm 2016 và Luật sửa đổi, bổ sung một số điều của Luật Dược ngày 21 tháng 11 năm 2024 (sau đây gọi là Luật Dược), bao gồm:",,khoản 4 Điều 89 Luật Dược,quy_dinh_chi_tiet,FP
96/2019/QH14,Nghị quyết phòng chống tội phạm và vi phạm pháp luật công tác của Viện kiểm sát,dieu,"Điều 4. Hiệu lực thi hành
Nghị quyết số 37/2012/QH13 ngày 23 tháng 11 năm 2012 của Quốc hội về công tác phòng, chống vi phạm pháp luật và tội phạm, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án năm 2013, Nghị quyết số 63/2013/QH13 ngày 27 tháng 11 năm 2013 của Quốc hội về tăng cường các biện pháp đấu tranh phòng, chống tội phạm, Nghị quyết số 111/2015/QH13 ngày 27 tháng 11 năm 2015 của Quốc hội về công tác phòng, chống vi phạm pháp luật và tội phạm, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án năm 2016 và các năm tiếp theo hết hiệu lực thi hành kể từ ngày Nghị quyết này có hiệu lực.
Các chỉ tiêu, nhiệm vụ về công tác phòng, chống tội phạm và vi phạm pháp luật, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án quy định tại Nghị quyết số 52/2013/QH13 ngày 21 tháng 6 năm 2013 của Quốc hội về chất vấn và trả lời chất vấn tại Kỳ họp thứ 5, Quốc hội XIII, Nghị quyết số 69/2013/QH13 ngày 29 tháng 11 năm 2013 của Quốc hội về chất vấn và trả lời chất vấn tại Ký họp thứ 6, Quốc hội XIII, Nghị quyết số 75/2014/QH13 ngày 24 tháng 6 năm 2014 của Quốc hội về chất vấn và trả lời chất vấn tại Kỳ họp thứ 7, Quốc hội XIII, Nghị quyết số 77/2014/QH13 ngày 10 tháng 11 năm 2014 của Quốc hội về kế hoạch phát triển kinh tế - xã hội năm 2015, Nghị quyết số 96/2015/QH13 ngày 26 tháng 6 năm 2015 của Quốc hội về tăng cường các biện pháp phòng, chống oan, sai và bảo đảm bồi thường cho người bị thiệt hại trong hoạt động tố tụng hình sự, Nghị quyết số 55/2017/QH14 ngày 24 tháng 11 năm 2017 của Quốc hội về hoạt động chất vấn tại Kỳ họp thứ 4, Quốc hội XIV và Nghị quyết số 69/2018/QH14 ngày 08 tháng 11 năm 2018 của Quốc hội về Kế hoạch phát triển kinh tế - xã hội năm 2019 khác với các chỉ tiêu, nhiệm vụ về công tác phòng, chống tội phạm và vi phạm pháp luật, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án được quy định trong Nghị quyết này thì áp dụng theo Nghị quyết này./.
Nghị quyết này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIV, Kỳ họp thứ 8 thông qua ngày 27 tháng 11 năm 2019.",,,Nghị quyết số 37/2012/QH13 ngày 23 tháng 11 năm 2012,ngung_hieu_luc,FP
96/2019/QH14,Nghị quyết phòng chống tội phạm và vi phạm pháp luật công tác của Viện kiểm sát,dieu,"Điều 4. Hiệu lực thi hành
Nghị quyết số 37/2012/QH13 ngày 23 tháng 11 năm 2012 của Quốc hội về công tác phòng, chống vi phạm pháp luật và tội phạm, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án năm 2013, Nghị quyết số 63/2013/QH13 ngày 27 tháng 11 năm 2013 của Quốc hội về tăng cường các biện pháp đấu tranh phòng, chống tội phạm, Nghị quyết số 111/2015/QH13 ngày 27 tháng 11 năm 2015 của Quốc hội về công tác phòng, chống vi phạm pháp luật và tội phạm, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án năm 2016 và các năm tiếp theo hết hiệu lực thi hành kể từ ngày Nghị quyết này có hiệu lực.
Các chỉ tiêu, nhiệm vụ về công tác phòng, chống tội phạm và vi phạm pháp luật, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án quy định tại Nghị quyết số 52/2013/QH13 ngày 21 tháng 6 năm 2013 của Quốc hội về chất vấn và trả lời chất vấn tại Kỳ họp thứ 5, Quốc hội XIII, Nghị quyết số 69/2013/QH13 ngày 29 tháng 11 năm 2013 của Quốc hội về chất vấn và trả lời chất vấn tại Ký họp thứ 6, Quốc hội XIII, Nghị quyết số 75/2014/QH13 ngày 24 tháng 6 năm 2014 của Quốc hội về chất vấn và trả lời chất vấn tại Kỳ họp thứ 7, Quốc hội XIII, Nghị quyết số 77/2014/QH13 ngày 10 tháng 11 năm 2014 của Quốc hội về kế hoạch phát triển kinh tế - xã hội năm 2015, Nghị quyết số 96/2015/QH13 ngày 26 tháng 6 năm 2015 của Quốc hội về tăng cường các biện pháp phòng, chống oan, sai và bảo đảm bồi thường cho người bị thiệt hại trong hoạt động tố tụng hình sự, Nghị quyết số 55/2017/QH14 ngày 24 tháng 11 năm 2017 của Quốc hội về hoạt động chất vấn tại Kỳ họp thứ 4, Quốc hội XIV và Nghị quyết số 69/2018/QH14 ngày 08 tháng 11 năm 2018 của Quốc hội về Kế hoạch phát triển kinh tế - xã hội năm 2019 khác với các chỉ tiêu, nhiệm vụ về công tác phòng, chống tội phạm và vi phạm pháp luật, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án được quy định trong Nghị quyết này thì áp dụng theo Nghị quyết này./.
Nghị quyết này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIV, Kỳ họp thứ 8 thông qua ngày 27 tháng 11 năm 2019.",,,Nghị quyết số 63/2013/QH13 ngày 27 tháng 11 năm 2013,ngung_hieu_luc,FP
96/2019/QH14,Nghị quyết phòng chống tội phạm và vi phạm pháp luật công tác của Viện kiểm sát,dieu,"Điều 4. Hiệu lực thi hành
Nghị quyết số 37/2012/QH13 ngày 23 tháng 11 năm 2012 của Quốc hội về công tác phòng, chống vi phạm pháp luật và tội phạm, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án năm 2013, Nghị quyết số 63/2013/QH13 ngày 27 tháng 11 năm 2013 của Quốc hội về tăng cường các biện pháp đấu tranh phòng, chống tội phạm, Nghị quyết số 111/2015/QH13 ngày 27 tháng 11 năm 2015 của Quốc hội về công tác phòng, chống vi phạm pháp luật và tội phạm, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án năm 2016 và các năm tiếp theo hết hiệu lực thi hành kể từ ngày Nghị quyết này có hiệu lực.
Các chỉ tiêu, nhiệm vụ về công tác phòng, chống tội phạm và vi phạm pháp luật, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án quy định tại Nghị quyết số 52/2013/QH13 ngày 21 tháng 6 năm 2013 của Quốc hội về chất vấn và trả lời chất vấn tại Kỳ họp thứ 5, Quốc hội XIII, Nghị quyết số 69/2013/QH13 ngày 29 tháng 11 năm 2013 của Quốc hội về chất vấn và trả lời chất vấn tại Ký họp thứ 6, Quốc hội XIII, Nghị quyết số 75/2014/QH13 ngày 24 tháng 6 năm 2014 của Quốc hội về chất vấn và trả lời chất vấn tại Kỳ họp thứ 7, Quốc hội XIII, Nghị quyết số 77/2014/QH13 ngày 10 tháng 11 năm 2014 của Quốc hội về kế hoạch phát triển kinh tế - xã hội năm 2015, Nghị quyết số 96/2015/QH13 ngày 26 tháng 6 năm 2015 của Quốc hội về tăng cường các biện pháp phòng, chống oan, sai và bảo đảm bồi thường cho người bị thiệt hại trong hoạt động tố tụng hình sự, Nghị quyết số 55/2017/QH14 ngày 24 tháng 11 năm 2017 của Quốc hội về hoạt động chất vấn tại Kỳ họp thứ 4, Quốc hội XIV và Nghị quyết số 69/2018/QH14 ngày 08 tháng 11 năm 2018 của Quốc hội về Kế hoạch phát triển kinh tế - xã hội năm 2019 khác với các chỉ tiêu, nhiệm vụ về công tác phòng, chống tội phạm và vi phạm pháp luật, công tác của Viện kiểm sát nhân dân, của Tòa án nhân dân và công tác thi hành án được quy định trong Nghị quyết này thì áp dụng theo Nghị quyết này./.
Nghị quyết này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIV, Kỳ họp thứ 8 thông qua ngày 27 tháng 11 năm 2019.",,,Nghị quyết số 111/2015/QH13 ngày 27 tháng 11 năm 2015,ngung_hieu_luc,FP
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 1 Điều 95 Luật tư pháp người chưa thành niên 2024,dinh_chi,FP
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 2 Điều 95 Luật tư pháp người chưa thành niên 2024,dinh_chi,FP
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 3 Điều 95 Luật tư pháp người chưa thành niên 2024,dinh_chi,FP
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 1 Điều 96 Luật Thi hành án hình sự,dan_chieu,FP
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 2 Điều 95 Luật này,dan_chieu,FP
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,khoan,"3. Khi có một trong các căn cứ quy định tại khoản 1 Điều này, cơ quan thi hành án hình sự Công an cấp huyện nơi người phải chấp hành biện pháp giáo dục tại trường giáo dưỡng cư trú, Hiệu trưởng trường giáo dưỡng thông báo cho Tòa án có thẩm quyền quy định tại khoản 2 và khoản 3 Điều 95 của Luật này để ra quyết định đình chỉ thi hành.",Điều 96. Đình chỉ thi hành quyết định áp dụng biện pháp giáo dục tại trường giáo dưỡng,,khoản 3 Điều 95 Luật này,dan_chieu,FP
